intercept,sigma2,parameter
0.4896039458399721,0.07313332106404571,mortality_rate
0.4997084297475376,0.0433731574209466,mortality_rate
0.41401254275560606,0.027761301872256575,mortality_rate
0.4539465891004112,0.0542432642923087,mortality_rate
0.3993039064330117,0.029954071780738317,mortality_rate
0.5117037919924166,0.0232047130655662,mortality_rate
0.5274073802905018,0.03149557946761852,mortality_rate
0.49640243947737467,0.017613637366775237,mortality_rate
0.5041058918118633,0.03440991048508736,mortality_rate
0.4713714249978777,0.03810191604002164,mortality_rate
0.4957247627809217,0.020221898610117837,mortality_rate
0.49425219600509707,0.014145020519923506,mortality_rate
0.5382606792395448,0.017580088470040483,mortality_rate
0.4740822384029005,0.04711061275134147,mortality_rate
0.4980357238840113,0.013833997533487795,mortality_rate
0.6751215831678569,0.1383110419753534,mortality_rate
0.44644308503886576,0.08463944284125341,mortality_rate
0.5163363372437825,0.017575036834461828,mortality_rate
0.4260707413745387,0.013262613890636063,mortality_rate
0.6190580660128483,0.024491259143405577,mortality_rate
0.45249171934703103,0.036645875813327886,mortality_rate
0.4915908037333959,0.01498233111846799,mortality_rate
0.4928138122851867,0.010897636118478089,mortality_rate
0.4155151949944329,0.029360372919307175,mortality_rate
0.4756607357540502,0.036411611866300854,mortality_rate
0.6424142147336128,0.09915626762408988,mortality_rate
0.4460959500792609,0.07580306335104005,mortality_rate
0.42874062627403986,0.018572691103060278,mortality_rate
0.453541464353414,0.029393428231750705,mortality_rate
0.5281121551780175,0.09373676329412182,mortality_rate
0.4300564349095026,0.029006586336364243,mortality_rate
0.6920097759585095,0.05754773342166013,mortality_rate
0.5301697260681388,0.042815941040089504,mortality_rate
0.503202608179687,0.05190441112057976,mortality_rate
0.45398659944686287,0.010532183813130347,mortality_rate
0.5398860005193442,0.017901255172964356,mortality_rate
0.4878987724304652,0.009438810634097707,mortality_rate
0.5625457160311023,0.028342726949766577,mortality_rate
0.5295536540421352,0.02272215919551162,mortality_rate
0.4923969537846287,0.013111910184268138,mortality_rate
0.44245839239206497,0.03234811002370819,mortality_rate
0.476676179407376,0.015666828687445344,mortality_rate
0.45931730517739816,0.017265914599640535,mortality_rate
0.3977739717944021,0.045630850095855414,mortality_rate
0.5354940991702701,0.028885472899986865,mortality_rate
0.4638394673374961,0.01794250198646004,mortality_rate
0.4811088923881873,0.011777446587892117,mortality_rate
0.5091854208547799,0.0165763965500024,mortality_rate
0.4711479463809868,0.010015609356237814,mortality_rate
0.465701550689727,0.010695861780548334,mortality_rate
0.38391518287297344,0.038545782827157336,mortality_rate
0.45597282469008205,0.01858063450928745,mortality_rate
0.41068504063996814,0.02764404385685786,mortality_rate
0.44217207687517796,0.04086436587664534,mortality_rate
0.483903191202629,0.03188429703466476,mortality_rate
0.4656185201815453,0.02638147242364008,mortality_rate
0.43459329022133897,0.029127207190969017,mortality_rate
0.4901390957928125,0.024351588777728965,mortality_rate
0.38994919930803146,0.047769894748232795,mortality_rate
0.4437548459103639,0.0356826665186254,mortality_rate
0.45270746180592913,0.023853984462612162,mortality_rate
0.5207255116325497,0.02772840244985005,mortality_rate
0.4286861890810129,0.019252819018902093,mortality_rate
0.5708114762015801,0.049858267265373124,mortality_rate
0.4731036520652977,0.034605523846610295,mortality_rate
0.512953656105241,0.01235438911390528,mortality_rate
0.5349708424305906,0.015538271437440174,mortality_rate
0.6309757192191345,0.01960380411479174,mortality_rate
0.60447989157572235,0.040501971854302654,mortality_rate
0.5329014266125707,0.01692719218106926,mortality_rate
0.4399947361331511,0.03187973652478742,mortality_rate
0.44554545419449443,0.020900894713679053,mortality_rate
0.4663087597706797,0.01749428747887711,mortality_rate
0.45588856725171917,0.011958915077249294,mortality_rate
0.41183298853649847,0.013517905362946083,mortality_rate
0.44135853757849297,0.03772201558210004,mortality_rate
